Abricot,230,126,48
Absinthe,127,221,76
Acajou,136,66,29
Aigue-marine,121,248,248
Aile de corbeau (cheveux),0,0,0
Albâtre,254,254,254
Alezan (chevaux),167,103,38
Amande,130,196,108
Amarante,144,40,59
Ambre jaune,240,195,0
Ambre rouge,173,57,14
Améthyste,136,77,167
Anthracite,48,48,48
Aquilain (chevaux),173,79,9
Ardoise,90,94,107
Argent,206,206,206
Argile,239,239,239
Asperge,123,160,91
Aubergine,55,0,40
Auburn (cheveux),157,62,12
Aurore,255,203,96
Avocat,86,130,3
Azur (héraldique),30,127,203
Azur,116,208,241
Azurin,169,234,254
Baillet (chevaux vieilli),174,100,45
Banane,209,182,6
Basané (peau),139,108,66
Beige,200,173,127
Beigeasse (péjoratif),175,167,123
Beurre,240,227,107
Beurre frais,255,244,141
Bis (héraldique),241,226,190
Bis,118,111,100
Bisque,255,228,196
Bistre,133,109,77
Bitume,78,61,40
Blanc,255,255,255
Blanc cassé,254,254,226
Blanc crème,253,241,184
Blanc d'argent (pigment),254,254,254
Blanc d'Espagne (pigment),254,253,240
Blanc de céruse (pigment),254,254,254
Blanc de Chine,255,255,255
Blanc de lait,251,252,250
Blanc de Meudon,254,253,240
Blanc de plomb,254,254,254
Blanc de Troyes (pigment),254,253,240
Blanc de zinc (pigment),246,254,254
Blanc lunaire,244,254,254
Blanc neige,254,254,254
Blanc-bleu (minéraux),254,254,254
Blé,232,214,48
Blet,91,60,17
Bleu cyan ou bleu primaire,0,0,255
Bleu acier,58,142,186
Bleu ardoise,104,111,140
Bleu azur (héraldique),30,127,203
Bleu barbeau,84,114,174
Bleu bleuet,84,114,174
Bleu canard,4,139,154
Bleu céleste,38,196,236
Bleu cérule,53,122,183
Bleu céruléen,53,122,183
Bleu charrette,142,162,198
Bleu charron,142,162,198
Bleu ciel,119,181,254
Bleu cobalt (pigment),34,66,124
Bleu d'Anvers,36,68,92
Bleu de Berlin,36,68,92
Bleu de cobalt (pigment),34,66,124
Bleu de France,49,140,231
Bleu de minuit,0,51,102
Bleu de Prusse (pigment),36,68,92
Bleu des mers du sud,0,204,203
Bleu dragée,223,242,255
Bleu électrique,44,117,255
Bleu France,49,140,231
Bleu fumée,187,210,225
Bleu givré,128,208,208
Bleu guède,86,115,154
Bleu hussard,36,68,92
Bleu Klein,33,23,125
Bleu lavande,150,131,236
Bleu Majorelle,96,80,220
Bleu marine,3,34,76
Bleu minéral,36,68,92
Bleu nuit,15,5,107
Bleu outremer,27,1,155
Bleu paon,6,119,144
Bleu persan,102,0,255
Bleu pétrole,29,72,81
Bleu roi,49,140,231
Bleu roy,49,140,231
Bleu saphir,1,49,180
Bleu sarcelle,0,142,142
Bleu turquin,66,91,138
Bleu turquoise,37,253,233
Blondeur (cheveux),226,188,116
Blond vénitien (cheveux),231,168,84
Bordeaux,109,7,26
Bourgogne,107,13,13
Bouton d'or,252,220,18
Brique,132,46,27
Bronze,97,78,26
Brou de noix,63,34,4
Brun clair,205,133,63
Brun,91,60,17
Bureau,107,87,49
Caca d'oie,205,205,13
Cacao,97,75,58
Cachou,47,27,12
Cæruléum,38,196,236
Café,70,46,1
Café au lait,120,94,47
Cannelle,126,88,53
Capucine,255,94,77
Caramel,126,51,0
Carmin,150,0,24
Carnation (héraldique),254,195,172
Carné (botanique),254,195,172
Carotte,244,102,27
Cassis,58,2,13
Céladon,131,166,151
Cerise,187,11,11
Céruléen,53,122,183
Chair,254,195,172
Chamois,208,192,122
Champagne,251,242,183
Charbonneux,0,0,16
Châtaigne,128,109,90
Châtain,139,108,66
Chaudron,133,83,15
Chenu (cheveux),254,254,254
Chocolat,90,58,34
Cinabre,219,23,2
Citron,247,255,60
Citrouille,223,109,20
Clarissimo (cigare),185,178,118
Claro (cigare),132,90,59
Claro claro (cigare),186,155,97
Colombin (vieilli),106,69,93
Colorado (cigare),112,53,22
Colorado claro (cigare),106,75,33
Coquelicot,198,8,0
Coquille d'œuf,253,233,224
Corail,231,62,1
Cramoisi,150,0,24
Crème,253,241,184
Cuisse de nymphe,254,231,240
Cuisse de nymphe émue,255,105,180
Cuivre,179,103,0
Cyan clair secondaire,0,255,255
Cyan clair,43,250,250
Denim,21,96,189
Dorian (IPJ),11,22,22
Double claro (cigare),186,155,97
Ébène,0,0,0
Écarlate,237,0,0
Écru,254,254,224
Émeraude,1,215,88
Étain oxydé,186,186,186
Étain pur,237,237,237
Fauve,173,79,9
Fer (héraldique),132,132,132
Feu vif,255,73,1
Feuille-morte,153,81,43
Flave,230,230,151
Fleur de soufre,255,255,107
Fraise,191,48,48
Fraise écrasée,164,36,36
Framboise,199,44,72
Fuchsia,253,63,146
Garance,238,16,16
Glauque,100,155,136
Glycine,201,160,220
Grège,187,174,152
Grenadine,233,56,63
Grenat,110,11,20
Gris,96,96,96
Gris acier,175,175,175
Gris anthracite,48,48,48
Gris de lin,210,202,236
Gris de maure,104,94,67
Gris de Payne,103,113,121
Gris fer,127,127,127
Gris fumée,187,210,225
Gris perle,206,206,206
Gris plomb,121,128,129
Gris souris,158,158,158
Gris taupe,70,63,50
Gris tourdille (chevaux),193,191,177
Gris tourterelle,187,172,172
Groseille,207,10,29
Gueules (héraldique),226,19,19
Havane,148,127,96
Héliotrope,223,115,255
Hoto,0,0,0
Incarnadin,254,150,160
Incarnat,255,111,125
Indigo (teinture),46,0,108
Indigo,121,28,248
Isabelle (chevaux),120,94,47
Ivoire,255,255,212
Jade,135,233,144
Jais,0,0,0
Jaune secondaire,255,255,0
Jaune auréolin,239,210,66
Jaune banane,209,182,6
Jaune bouton d’or,246,220,18
Jaune canari,231,240,13
Jaune citron,247,255,60
Jaune d'or,239,216,7
Jaune de chrome (pigment),237,255,12
Jaune de Mars,238,209,83
Jaune de Naples (pigment),255,240,188
Jaune fleur de soufre,255,255,107
Jaune impérial,255,228,54
Jaune maïs,255,222,117
Jaune mimosa,254,248,108
Jaune moutarde,199,207,0
Jaune nankin,247,226,105
Jaune paille,254,227,71
Jaune poussin,247,227,95
Jaune soufre,255,255,107
Lapis-lazuli,38,97,156
Lavallière (reliure),143,89,34
Lavande,150,131,236
Lie de vin,172,30,68
Lilas,182,102,210
Lin,250,240,230
Maduro (cigare),55,47,37
Maduro colorado (cigare),91,60,17
Magenta secondaire,255,0,255
Magenta fushia (encre),219,0,115
Magenta foncé,128,0,128
