Abricot,230,126,48
Acajou,136,66,29
Aigue-marine,121,248,248
Alezan (chevaux),167,103,38
Amande,130,196,108
Amarante,145,40,59
Ambre,240,195,0
Amethyste,136,77,167
Anthracite,48,48,48
Aquilain (chevaux),173,79,9
Argent (heraldique),255,255,255
Aubergine,55,0,40
Auburn (cheveux),157,62,12
Aurore,255,203,96
Avocat,86,130,3
Azur,0,127,255
Baillet (chevaux, vieilli),174,100,45
Basane (teint),139,108,66
Beurre,240,227,107
Bis,118,111,100
Bisque,255,228,196
Bistre,133,109,77
Bitume (pigment),78,61,40
Blanc casse,254,254,226
Blanc lunaire,244,254,254
Ble,232,214,48
Bleu acier,58,142,186
Bleu barbeau ou bleuet,84,114,174
Bleu canard,4,139,154
Bleu celeste,38,196,236
Bleu charrette,142,162,198
Bleu ciel,119,181,254
Bleu de cobalt,34,66,124
Bleu de Prusse, de Berlin ou bleu hussard,36,68,92
Bleu electrique,44,117,255
Bleu givre,128,208,208
Bleu marine,3,34,76
Bleu nuit,15,5,107
Bleu outremer (pigment),0,71,135
Bleu paon,6,119,144
Bleu persan,78,99,206
Bleu petrole,29,72,81
Bleu roi ou de France,49,140,231
Bleu turquin,66,91,138
Blond venitien (cheveux),231,168,84
Blond (cheveux),226,188,116
Bouton d'or,252,220,18
Brique,132,46,27
Bronze,97,78,26
Brou de noix,63,34,4
Caca d'oie,205,205,13
Cacao,97,75,58
Cachou (pigments),47,27,12
Caruleum,53,122,183
Cafe,70,46,1
Cafe au lait,120,94,47
Cannelle,126,88,53
Capucine,255,94,77
Caramel (pigments),126,51,0
Carmin (pigment),150,0,24
Carotte,244,102,27
Chamois,208,192,122
Chartreuse,127,255,0
Chatain (cheveux),139,108,66
Chaudron,133,83,15
Chocolat,90,58,34
Cinabre (pigment),219,23,2
Citrouille,223,109,20
Coquille d'?uf,253,233,224
Corail,231,62,1
Cramoisi,220,20,60
Cuisse de nymphe,254,231,240
Cuivre,179,103,0
Cyan,43,250,250
Ecarlate,237,0,0
Ecru,254,254,224
Emeraude (pigment PG18),0,129,95
Fauve,173,79,9
Flave,230,230,151
Fraise,191,48,48
Fraise ecrasee,164,36,36
Framboise,199,44,72
Fuchsia,253,63,146
Fumee,187,210,225
Garance (pigment),238,16,16
Glauque,100,155,136
Glycine,201,160,220
Grege,187,174,152
Grenadine,233,56,63
Grenat,110,11,20
Gris acier,175,175,175
Gris de Payne,103,113,121
Gris fer,127,127,127
Gris perle,206,206,206
Gris souris,158,158,158
Groseille,207,10,29
Gueules (heraldique),226,19,19
Heliotrope,223,115,255
Incarnat,255,111,125
Indigo,121,28,248
Indigo (teinture),46,0,108
Isabelle,254,167,119
Jaune canari,231,240,13
Jaune citron,247,255,60
Jaune d'or,239,216,7
Jaune de cobalt,253,238,0
Jaune de Mars (pigment),238,209,83
Jaune de Naples (pigment),255,240,188
Jaune imperial,255,228,54
Jaune mimosa,254,248,108
Lapis-lazuli,38,97,156
Lavalliere (reliure),143,89,34
Lavande,150,131,236
Lie de vin,172,30,68
Lilas,182,102,210
Lime ou vert citron,158,253,56
Lin,250,240,230
Magenta,255,0,255
Mais,255,222,117
Malachite,31,160,85
Mandarine,254,163,71
Marron,88,41,0
Mastic,179,177,145
Mauve,212,115,212
Menthe,22,184,78
Moutarde,199,207,0
Nacarat,252,93,93
Nankin,247,226,105
Noisette,149,86,40
Ocre jaune,223,175,44
Ocre rouge,221,152,92
Olive,112,141,35
Or (couleur),255,215,0
Orange brule,204,85,0
Orchidee,218,112,214
Orpiment (pigment),252,210,28
Paille,254,227,71
Parme,207,160,233
Pelure d'oignon,213,132,144
Pervenche,204,204,255
Pistache,190,245,116
Poil de chameau,182,120,35
Ponceau ou Coquelicot,198,8,0
Pourpre (heraldique),158,14,64
Prasin,76,166,107
Prune,129,20,83
Puce,78,22,9
Rose Mountbatten,153,122,141
Rouge anglais (pigment),247,35,12
Rouge cardinal,184,32,16
Rouge cerise,187,11,11
Rouge d'Andrinople (teinture),169,17,1
Rouge de Falun (pigment),128,24,24
Rouge feu,255,73,1
Rouge indien (pigment),205,92,92
Rouge sang,133,6,6
Rouge tomette,174,74,52
Rouille,152,87,23
Roux,173,79,9
Rubis,224,17,95
Sable,224,205,169
Sable (heraldique),0,0,0
Safre,1,49,180
Sang de b?uf,115,8,0
Sanguine,133,6,6
Saphir,1,49,180
Sarcelle,0,128,128
Saumon,248,142,85
Sepia,174,137,100
Sinople (heraldique),20,148,20
Smalt,0,51,153
Soufre,255,255,107
Tabac,159,85,30
Taupe,70,63,50
Terre d'ombre,146,109,39
Tomate,222,41,22
Topaze,250,234,115
Tourterelle ou Colombin,187,172,172
Turquoise,37,253,233
Vanille,225,206,154
Vermeil,255,9,33
Vermillon,219,23,2
Vert bouteille,9,106,9
Vert celadon,131,166,151
Vert d'eau,176,242,182
Vert de chrome,24,57,30
Vert-de-gris,149,165,149
Vert de Hooker,27,79,8
Vert de vessie,34,120,15
Vert emeraude ou Smaragdin (RAL 6001),54,103,53
Vert epinard,23,87,50
Vert imperial,0,86,27
Vert lichen,133,193,126
Vert olive,85,107,47
Vert perroquet,58,242,75
Vert poireau,76,166,107
Vert pomme,52,201,36
Vert prairie,87,213,59
Vert printemps,0,255,127
Vert sapin,9,82,40
Vert sauge,104,157,113
Vert tilleul,165,209,82
Vert Veronese,90,101,33
Violet,148,0,211
Violet d'eveque,114,62,100
Viride,64,130,109
Zinzolin,108,2,119
